Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type,latitude,longitude
,ST7546,375000,146000,,England,10.0,1,2008,2008,WCBS,51.212651,-2.3592899
,ST7931,379000,131000,,England,10.0,1,2007,2007,WCBS,51.077934,-2.3011458
,SU3605,436000,105000,,England,10.0,1,2007,2007,WCBS,50.84341,-1.4900588
,SU4689,446000,189000,,England,10.0,4,2007,2013,WCBS,51.597973,-1.3372843
,TQ6169,561000,169000,,England,10.0,2,2007,2014,WCBS,51.397192,0.31293811
,SY7784,377000,84000,,England,10.0,1,2006,2006,WCBS,50.655219,-2.3267248
,TL1009,510000,209000,,England,10.0,1,2006,2006,WCBS,51.768879,-0.40727943
,TL1917,519000,217000,,England,10.0,1,2006,2006,WCBS,51.838936,-0.27416902
,TL2115,521000,215000,,England,10.0,2,2006,2013,WCBS,51.820533,-0.24585288
,J1476,126643,533157,,Northern Ireland,10.0,8,2010,2018,WCBS,54.619321,-6.2359813
,J1734,126057,491040,,Northern Ireland,10.0,2,2010,2015,WCBS,54.241527,-6.2061181
,J4864,159502,518299,,Northern Ireland,10.0,7,2010,2019,WCBS,54.502799,-5.7160964
,TQ2022,520000,122000,,England,10.0,2,2008,2010,WCBS,50.984907,-0.29178372
,SD3033,330000,433000,,England,10.0,3,2010,2012,WCBS,53.788589,-3.0639861
,SD9613,396000,413000,,England,10.0,5,2010,2020,WCBS,53.613534,-2.0619357
,SJ6226,362000,326000,,England,10.0,2,2010,2013,WCBS,52.830174,-2.5654488
,SK2936,429000,336000,,England,10.0,8,2010,2018,WCBS,52.920639,-1.5701239
,SP7402,474000,202000,,England,10.0,1,2010,2010,WCBS,51.711862,-0.93035683
,SN8889,288000,289000,,Wales,10.0,4,2010,2014,WCBS,52.487383,-3.6508629
,SO4304,343000,204000,,Wales,10.0,1,2010,2010,WCBS,51.7318,-2.8267516
,SO7074,370000,274000,,England,10.0,3,2010,2013,WCBS,52.363226,-2.4419828
,SO9486,394000,286000,,England,10.0,2,2010,2013,WCBS,52.4719,-2.0897567
,TF4513,545000,313000,,England,10.0,4,2010,2013,WCBS,52.695272,0.1441765
,TQ8754,587000,154000,,England,10.0,9,2010,2018,WCBS,51.254497,0.67840642
,SO7482,374000,282000,,England,10.0,3,2012,2014,WCBS,52.43535,-2.3838672
,J5335,162018,488979,,Northern Ireland,10.0,2,2012,2013,WCBS,54.241024,-5.6538699
,TQ1208,512000,108000,,England,10.0,1,2012,2012,WCBS,50.860673,-0.41000303
,TL6142,561000,242000,,England,10.0,11,2010,2020,WCBS,52.053001,0.3466625
,TL7910,579000,210000,,England,10.0,9,2012,2020,WCBS,51.760074,0.59229408
,SU7808,478000,108000,,England,10.0,3,2012,2014,WCBS,50.866253,-0.89297906
,TQ5425,554000,125000,,England,10.0,9,2012,2020,WCBS,51.003782,0.19353347
,SS7938,279000,138000,,England,10.0,8,2011,2018,WCBS,51.128459,-3.7305564
,SU8615,486000,115000,,England,10.0,1,2011,2011,WCBS,50.928053,-0.77767807
,TL5070,550000,270000,,England,10.0,1,2011,2011,WCBS,52.307632,0.19874082
,SS5410,254000,110000,,England,10.0,1,2011,2011,WCBS,50.871011,-4.0763264
,TQ7214,572000,114000,,England,10.0,2,2011,2017,WCBS,50.899861,0.44465156
,NS4280,242000,680000,,Scotland,10.0,2,2011,2012,WCBS,55.986876,-4.5343119
,NT0035,300000,635000,,Scotland,10.0,7,2011,2020,WCBS,55.598314,-3.5885571
,H5347,63353,509445,,Northern Ireland,10.0,5,2011,2017,WCBS,54.368914,-7.1853156
,SJ2938,329000,338000,,Wales,10.0,1,2011,2011,WCBS,52.934684,-3.0577967
,NO4603,346000,703000,,Scotland,10.0,6,2011,2016,WCBS,56.216495,-2.8722811
,NT1174,311000,674000,,Scotland,10.0,1,2011,2011,WCBS,55.950758,-3.4267957
,NR7664,176000,664000,,Scotland,10.0,1,2011,2011,WCBS,55.817142,-5.5770567
,NR7150,171000,650000,,Scotland,10.0,10,2011,2020,WCBS,55.689263,-5.6449455
,NS0225,202000,625000,,Scotland,10.0,6,2011,2016,WCBS,55.478611,-5.134692
,SJ0821,308000,321000,,Wales,10.0,4,2011,2015,WCBS,52.778716,-3.3653475
,SS9891,298000,191000,,Wales,10.0,1,2012,2012,WCBS,51.608563,-3.474363
,TF0028,500000,328000,,England,10.0,1,2012,2012,WCBS,52.84024,-0.51683343
,H5873,70557,534948,,Northern Ireland,10.0,8,2011,2018,WCBS,54.601909,-7.1032992
,SK2790,427000,390000,,England,10.0,1,2012,2012,WCBS,53.406132,-1.5953325
,SP5810,458000,210000,,England,10.0,5,2012,2018,WCBS,51.785662,-1.1605715
,TF9313,593000,313000,,England,10.0,9,2011,2020,WCBS,52.68031,0.85360873
